ENTREZ_id,logFC,AveExpr,t,P.Value,adj.P.Val,B
10750,-0.137819583,6.465690208,-2.849042829,0.005159355,0.012961479,-3.193703649
23478,-0.138197083,11.46851488,-2.536437284,0.012478184,0.027935148,-3.988749451
55142,-0.13822925,7.033529292,-2.30377766,0.022950151,0.047179025,-4.526512591
53616,-0.138336833,4.74233325,-4.747279408,5.74E-06,3.01E-05,3.215211983
55702,-0.138360167,7.97550825,-2.594232675,0.010657038,0.024320991,-3.84794586
101927249,-0.138663,5.636649333,-2.939453898,0.003942734,0.010260863,-2.948690282
57689,-0.138742333,4.781294,-3.631245135,0.000415511,0.001412298,-0.861754699
5623 /// 100130856,-0.138799667,4.934944833,-3.861777992,0.000182645,0.000681346,-0.087381162
64386,-0.138830167,6.415831167,-2.723109504,0.007428885,0.017800523,-3.523808113
8736,-0.139058333,5.499321167,-2.398558082,0.017995001,0.038165241,-4.313102562
9853,-0.1390995,7.91868575,-2.94860808,0.003835544,0.010018847,-2.923512659
1004,-0.139196167,5.76805175,-2.704195261,0.007839014,0.018634266,-3.572251462
128637,-0.139275417,7.704565042,-3.171399975,0.001924828,0.005460042,-2.290104566
6915,-0.139558583,7.014601792,-4.199022095,5.16E-05,0.000218381,1.111340313
129852,-0.1396655,4.862173083,-3.644293944,0.000396991,0.001355244,-0.81893396
11092,-0.139740083,5.865001292,-2.590165395,0.010776905,0.02456124,-3.857947581
129787,-0.13978275,7.991805792,-2.393620702,0.018227564,0.03860235,-4.324413006
4353,-0.139836417,5.384899875,-4.219720289,4.77E-05,0.000203282,1.187365192
3550,-0.139842167,10.55673958,-2.419264757,0.017048077,0.036389745,-4.2654378
53918,-0.1399525,4.205165417,-2.91824928,0.004201689,0.010848331,-3.006751012
7327,-0.14006025,8.176130208,-2.632480585,0.009587216,0.022193905,-3.753206852
121838,-0.140137,3.8673745,-4.531458567,1.39E-05,6.71E-05,2.365171421
286006,-0.140334083,5.257616625,-3.408111656,0.000890283,0.002774322,-1.574698506
10758,-0.1405795,6.291326667,-2.701872715,0.007890766,0.01873693,-3.578179405
115111,-0.141435833,3.729278083,-2.41941771,0.017041251,0.036382272,-4.265084332
55788,-0.141451167,7.523896833,-2.779984804,0.006310296,0.015441558,-3.376345762
400941,-0.141453667,3.764803333,-3.148253948,0.002071184,0.005824606,-2.35773652
81605,-0.141471417,7.326753292,-3.895780275,0.000161323,0.000608024,0.029989811
100129069,-0.141753667,5.004847167,-3.230465207,0.001593781,0.004636396,-2.115625914
10270,-0.142001667,8.316355417,-3.495204942,0.000663883,0.002138561,-1.300796574
3270,-0.142352667,5.769244333,-3.63790331,0.000405961,0.001382631,-0.839920716
440104,-0.142449083,7.014494708,-3.647437475,0.000392647,0.001341881,-0.808599837
101927579 /// 101928042,-0.142658833,4.911333583,-2.92793971,0.004081468,0.010584146,-2.98026265
7587 /// 101929740,-0.1427345,5.48916975,-2.531093941,0.012659901,0.028284079,-4.001623443
116988,-0.142858833,7.47872925,-2.911951645,0.004281553,0.011023311,-3.023924502
23185,-0.14295525,6.678649125,-2.711567141,0.007676783,0.018308299,-3.553406027
7274,-0.143227333,4.021687167,-4.363885767,2.72E-05,0.000122646,1.724495669
317762,-0.143573167,7.117647083,-2.448284273,0.015795537,0.034169523,-4.198013029
56132,-0.143728083,5.414865875,-2.864020345,0.004936583,0.012461926,-3.153575003
148,-0.14393675,4.457127292,-4.512101862,1.50E-05,7.18E-05,2.290287155
54777,-0.144083167,4.999485917,-2.623594366,0.009826739,0.02268273,-3.775328005
3050,-0.144423833,5.358668917,-2.637700957,0.009448973,0.021918372,-3.740180323
101928221,-0.144460833,5.81642125,-2.962174571,0.003681611,0.009667544,-2.886075037
646214,-0.144541083,7.226396458,-2.46960916,0.01492804,0.032608884,-4.148002776
100132707,-0.144575917,5.581091542,-2.602244834,0.010424418,0.023874788,-3.828202411
643648 /// 101927827,-0.144601833,3.54025625,-5.359327306,4.08E-07,2.74E-06,5.767100432
10109,-0.144623333,11.72164,-2.612349493,0.010137572,0.023300761,-3.803225171
65117,-0.144896,9.51689875,-2.297585807,0.023312127,0.047810839,-4.540180852
1837,-0.14490175,5.576097958,-3.506862573,0.000638064,0.002066647,-1.263706187
5592,-0.145386167,5.313774917,-2.463178409,0.015185057,0.033061385,-4.16312518
26017,-0.145527667,9.876338,-3.823491371,0.00020986,0.000771427,-0.218581747
8498,-0.145549833,7.566620667,-3.39356435,0.000934533,0.002898179,-1.619895459
643749,-0.145755333,5.115880833,-4.171446894,5.74E-05,0.00023995,1.010487833
65056,-0.145777417,9.957442375,-2.654421878,0.009018214,0.021062074,-3.698301665
4850,-0.145976,5.039089833,-2.304258814,0.022922231,0.04713973,-4.525449054
57101,-0.146008583,4.861286375,-4.255020438,4.16E-05,0.000179623,1.317660866
5875,-0.146082833,8.085205083,-2.619822352,0.009930034,0.022879025,-3.78469782
84519,-0.146138333,5.861803,-3.036498893,0.00293462,0.007914034,-2.678348227
103910,-0.146446667,12.77943667,-3.103098058,0.002386897,0.006605479,-2.488470944
400960,-0.146482833,5.682430583,-3.293250691,0.001300575,0.003885209,-1.927199514
9552,-0.146487833,10.27160992,-2.885120485,0.004637673,0.011814045,-3.096731307
2303,-0.147104417,5.783447542,-2.307404437,0.022740433,0.046831508,-4.518491
100874014,-0.147275,5.469782833,-2.834144886,0.005390032,0.013471385,-3.233436856
10569,-0.14752225,8.815710458,-2.292939952,0.02358701,0.048279558,-4.550414269
80243,-0.148019917,4.524803625,-3.110718775,0.002330663,0.006473604,-2.466520137
51327,-0.148199167,6.318634583,-2.522683193,0.012950743,0.028833754,-4.021838475
10794,-0.148202833,4.48432175,-2.434687714,0.016371814,0.035238458,-4.229694304
94120,-0.14850475,4.220083375,-2.628295237,0.009699366,0.022411281,-3.763634065
57533,-0.148704667,9.505014333,-3.169911542,0.001933942,0.00548256,-2.294466322
3044,-0.149100333,5.508005,-3.369823332,0.001011205,0.003106015,-1.693313792
284359,-0.1492115,3.951047083,-4.61490251,9.91E-06,4.94E-05,2.690564925
